timestamp,operator_id,operator_name,zone,shift,picks_completed,picks_errors,distance_m,items_scanned,stock_accuracy,orders_processed,order_status,dock_id,reception_pallets,dispatch_pallets
2026-04-14 17:00:00,OP011,Adam Simon,A,Afternoon,50,1,537.1,50,98.26,4,Completed,DOCK-3,10,1
2026-04-14 17:00:00,OP020,Mila Faure,E,Afternoon,42,0,490.8,126,97.26,5,Completed,DOCK-4,7,11
2026-04-14 17:00:00,OP012,Camille Michel,B,Afternoon,43,1,591.1,43,96.88,4,Completed,DOCK-4,2,3
2026-04-14 17:00:00,OP019,Noah Lambert,D,Afternoon,48,0,548.7,96,99.07,2,Completed,DOCK-3,7,1
2026-04-14 17:00:00,OP013,Raphael Lefebvre,C,Afternoon,47,0,517.7,94,99.9,5,Completed,DOCK-5,3,9
2026-04-14 17:00:00,OP009,Jules Moreau,D,Afternoon,54,0,475.0,54,97.89,2,Delayed,DOCK-1,4,8
2026-04-14 17:00:00,OP014,Ines Leroy,D,Afternoon,51,0,588.4,51,97.17,5,Completed,DOCK-6,6,11
2026-04-14 17:00:00,OP006,Manon Richard,A,Afternoon,45,0,413.7,90,97.55,1,Completed,DOCK-6,0,6
2026-04-14 17:00:00,OP008,Lea Durand,C,Afternoon,51,0,587.9,153,98.0,2,Completed,DOCK-8,2,2
2026-04-14 17:00:00,OP018,Lina Bonnet,C,Afternoon,60,2,862.6,60,97.94,7,Completed,DOCK-2,8,7
2026-04-14 17:00:00,OP003,Hugo Dubois,C,Afternoon,50,0,568.4,50,99.22,4,Completed,DOCK-3,5,9
2026-04-14 17:00:00,OP001,Lucas Martin,A,Afternoon,54,0,480.6,162,97.31,3,Delayed,DOCK-1,7,1
2026-04-14 18:00:00,OP019,Noah Lambert,D,Afternoon,43,3,592.3,129,98.37,4,Completed,DOCK-3,3,10
2026-04-14 18:00:00,OP012,Camille Michel,B,Afternoon,40,0,543.9,40,98.2,4,Completed,DOCK-4,0,1
2026-04-14 18:00:00,OP020,Mila Faure,E,Afternoon,51,0,655.6,51,98.26,8,Completed,DOCK-4,0,1
2026-04-14 18:00:00,OP018,Lina Bonnet,C,Afternoon,56,0,668.3,112,98.56,6,Completed,DOCK-2,5,5
